accession,component,length_bp
XM_049691035.1,Anopheles_darlingi_mRNA,7547
XM_049691034.1,Anopheles_darlingi_mRNA,7550
XM_049691033.1,Anopheles_darlingi_mRNA,7574
XM_049691032.1,Anopheles_darlingi_mRNA,7577
XM_049691031.1,Anopheles_darlingi_mRNA,1476
XM_049691030.1,Anopheles_darlingi_mRNA,774
XM_049691029.1,Anopheles_darlingi_mRNA,4400
XM_049691028.1,Anopheles_darlingi_mRNA,1119
XM_049691027.1,Anopheles_darlingi_mRNA,6675
XM_049691026.1,Anopheles_darlingi_mRNA,3047
XM_049691025.1,Anopheles_darlingi_mRNA,3169
XM_049691023.1,Anopheles_darlingi_mRNA,3860
XM_049691022.1,Anopheles_darlingi_mRNA,3523
XM_049691021.1,Anopheles_darlingi_mRNA,4087
XM_049691020.1,Anopheles_darlingi_mRNA,3396
XM_049691019.1,Anopheles_darlingi_mRNA,813
XM_049691018.1,Anopheles_darlingi_mRNA,879
XM_049691017.1,Anopheles_darlingi_mRNA,2080
XM_049691016.1,Anopheles_darlingi_mRNA,2083
XM_049691015.1,Anopheles_darlingi_mRNA,2898
XM_049691014.1,Anopheles_darlingi_mRNA,3459
XM_049691013.1,Anopheles_darlingi_mRNA,3087
XM_049691012.1,Anopheles_darlingi_mRNA,3397
XM_049691011.1,Anopheles_darlingi_mRNA,1938
XM_049691010.1,Anopheles_darlingi_mRNA,2829
XM_049691009.1,Anopheles_darlingi_mRNA,2814
XM_049691008.1,Anopheles_darlingi_mRNA,2832
XM_049691007.1,Anopheles_darlingi_mRNA,1448
XM_049691006.1,Anopheles_darlingi_mRNA,3281
XM_049691005.1,Anopheles_darlingi_mRNA,1766
XM_049691004.1,Anopheles_darlingi_mRNA,524
XM_049691003.1,Anopheles_darlingi_mRNA,2224
XM_049691002.1,Anopheles_darlingi_mRNA,927
XM_049691001.1,Anopheles_darlingi_mRNA,979
XM_049691000.1,Anopheles_darlingi_mRNA,808
XM_049690999.1,Anopheles_darlingi_mRNA,890
XM_049690998.1,Anopheles_darlingi_mRNA,736
XM_049690997.1,Anopheles_darlingi_mRNA,753
XM_049690996.1,Anopheles_darlingi_mRNA,761
XM_049690995.1,Anopheles_darlingi_mRNA,1018
XM_049690994.1,Anopheles_darlingi_mRNA,829
XM_049690993.1,Anopheles_darlingi_mRNA,4636
XM_049690992.1,Anopheles_darlingi_mRNA,1233
XM_049690991.1,Anopheles_darlingi_mRNA,2613
XM_049690990.1,Anopheles_darlingi_mRNA,2688
XM_049690989.1,Anopheles_darlingi_mRNA,1339
XM_049690988.1,Anopheles_darlingi_mRNA,1619
XM_049690987.1,Anopheles_darlingi_mRNA,3306
XM_049690986.1,Anopheles_darlingi_mRNA,3312
XM_049690985.1,Anopheles_darlingi_mRNA,1763
XM_049690984.1,Anopheles_darlingi_mRNA,2046
XM_049690983.1,Anopheles_darlingi_mRNA,2015
XM_049690982.1,Anopheles_darlingi_mRNA,1793
XM_049690981.1,Anopheles_darlingi_mRNA,1946
XM_049690980.1,Anopheles_darlingi_mRNA,2047
XM_049690979.1,Anopheles_darlingi_mRNA,1783
XM_049690978.1,Anopheles_darlingi_mRNA,2055
XM_049690977.1,Anopheles_darlingi_mRNA,2020
XM_049690976.1,Anopheles_darlingi_mRNA,2106
XM_049690975.1,Anopheles_darlingi_mRNA,6476
XM_049690974.1,Anopheles_darlingi_mRNA,6519
XM_049690973.1,Anopheles_darlingi_mRNA,6565
XM_049690972.1,Anopheles_darlingi_mRNA,1991
XM_049690971.1,Anopheles_darlingi_mRNA,2010
XM_049690970.1,Anopheles_darlingi_mRNA,4763
XM_049690969.1,Anopheles_darlingi_mRNA,4884
XM_049690968.1,Anopheles_darlingi_mRNA,2826
XM_049690967.1,Anopheles_darlingi_mRNA,2081
XM_049690966.1,Anopheles_darlingi_mRNA,4351
XM_049690965.1,Anopheles_darlingi_mRNA,2415
XM_049690964.1,Anopheles_darlingi_mRNA,3090
XM_049690963.1,Anopheles_darlingi_mRNA,2612
XM_049690962.1,Anopheles_darlingi_mRNA,2631
XM_049690961.1,Anopheles_darlingi_mRNA,4396
XM_049690960.1,Anopheles_darlingi_mRNA,3974
XM_049690959.1,Anopheles_darlingi_mRNA,4334
XM_049690958.1,Anopheles_darlingi_mRNA,4767
XM_049690957.1,Anopheles_darlingi_mRNA,4353
XM_049690956.1,Anopheles_darlingi_mRNA,4476
XM_049690955.1,Anopheles_darlingi_mRNA,4329
XM_049690954.1,Anopheles_darlingi_mRNA,3406
XM_049690953.1,Anopheles_darlingi_mRNA,4811
XM_049690952.1,Anopheles_darlingi_mRNA,2377
XM_049690951.1,Anopheles_darlingi_mRNA,1995
XM_049690950.1,Anopheles_darlingi_mRNA,2342
XM_049690948.1,Anopheles_darlingi_mRNA,6497
XM_049690947.1,Anopheles_darlingi_mRNA,6951
XM_049690946.1,Anopheles_darlingi_mRNA,4499
XM_049690945.1,Anopheles_darlingi_mRNA,4928
XM_049690944.1,Anopheles_darlingi_mRNA,4973
XM_049690943.1,Anopheles_darlingi_mRNA,4933
XM_049690942.1,Anopheles_darlingi_mRNA,5093
XM_049690941.1,Anopheles_darlingi_mRNA,5093
XM_049690940.1,Anopheles_darlingi_mRNA,5176
XM_049690939.1,Anopheles_darlingi_mRNA,5156
XM_049690938.1,Anopheles_darlingi_mRNA,6791
XM_049690937.1,Anopheles_darlingi_mRNA,16955
XM_049690936.1,Anopheles_darlingi_mRNA,5888
XM_049690935.1,Anopheles_darlingi_mRNA,6313
XM_049690934.1,Anopheles_darlingi_mRNA,6306
XM_049690933.1,Anopheles_darlingi_mRNA,6312
XM_049690932.1,Anopheles_darlingi_mRNA,6332
XM_049690931.1,Anopheles_darlingi_mRNA,6364
XM_049690930.1,Anopheles_darlingi_mRNA,6368
XM_049690929.1,Anopheles_darlingi_mRNA,675
XM_049690928.1,Anopheles_darlingi_mRNA,511
XM_049690927.1,Anopheles_darlingi_mRNA,2511
XM_049690926.1,Anopheles_darlingi_mRNA,3954
XM_049690925.1,Anopheles_darlingi_mRNA,2547
XM_049690924.1,Anopheles_darlingi_mRNA,827
XM_049690923.1,Anopheles_darlingi_mRNA,1277
XM_049690922.1,Anopheles_darlingi_mRNA,1288
XM_049690921.1,Anopheles_darlingi_mRNA,1854
XM_049690920.1,Anopheles_darlingi_mRNA,1964
XM_049690919.1,Anopheles_darlingi_mRNA,5226
XM_049690918.1,Anopheles_darlingi_mRNA,10835
XM_049690917.1,Anopheles_darlingi_mRNA,894
XM_049690914.1,Anopheles_darlingi_mRNA,722
XM_049690913.1,Anopheles_darlingi_mRNA,734
XM_049690912.1,Anopheles_darlingi_mRNA,1393
XM_049690911.1,Anopheles_darlingi_mRNA,8966
XM_049690910.1,Anopheles_darlingi_mRNA,1088
XM_049690908.1,Anopheles_darlingi_mRNA,1305
XM_049690907.1,Anopheles_darlingi_mRNA,954
XM_049690906.1,Anopheles_darlingi_mRNA,974
XM_049690905.1,Anopheles_darlingi_mRNA,1248
XM_049690904.1,Anopheles_darlingi_mRNA,1349
XM_049690903.1,Anopheles_darlingi_mRNA,1164
XM_049690902.1,Anopheles_darlingi_mRNA,1241
XM_049690901.1,Anopheles_darlingi_mRNA,1325
XM_049690900.1,Anopheles_darlingi_mRNA,1360
XM_049690899.1,Anopheles_darlingi_mRNA,1472
XM_049690898.1,Anopheles_darlingi_mRNA,2269
XM_049690897.1,Anopheles_darlingi_mRNA,1307
XM_049690896.1,Anopheles_darlingi_mRNA,1310
XM_049690895.1,Anopheles_darlingi_mRNA,1245
XM_049690894.1,Anopheles_darlingi_mRNA,1541
XM_049690893.1,Anopheles_darlingi_mRNA,2317
XM_049690892.1,Anopheles_darlingi_mRNA,1508
XM_049690891.1,Anopheles_darlingi_mRNA,1751
XM_049690890.1,Anopheles_darlingi_mRNA,2687
XM_049690889.1,Anopheles_darlingi_mRNA,2351
XM_049690888.1,Anopheles_darlingi_mRNA,3537
XM_049690887.1,Anopheles_darlingi_mRNA,1891
XM_049690886.1,Anopheles_darlingi_mRNA,1846
XM_049690885.1,Anopheles_darlingi_mRNA,1874
XM_049690884.1,Anopheles_darlingi_mRNA,2045
XM_049690883.1,Anopheles_darlingi_mRNA,2502
XM_049690882.1,Anopheles_darlingi_mRNA,2355
XM_049690881.1,Anopheles_darlingi_mRNA,2352
XM_049690880.1,Anopheles_darlingi_mRNA,2351
XM_049690879.1,Anopheles_darlingi_mRNA,3487
XM_049690878.1,Anopheles_darlingi_mRNA,3502
XM_049690877.1,Anopheles_darlingi_mRNA,3547
XM_049690876.1,Anopheles_darlingi_mRNA,3709
XM_049690875.1,Anopheles_darlingi_mRNA,3857
XM_049690874.1,Anopheles_darlingi_mRNA,3872
XM_049690873.1,Anopheles_darlingi_mRNA,2337
XM_049690872.1,Anopheles_darlingi_mRNA,4899
XM_049690871.1,Anopheles_darlingi_mRNA,5768
XM_049690870.1,Anopheles_darlingi_mRNA,5605
XM_049690869.1,Anopheles_darlingi_mRNA,5933
XM_049690868.1,Anopheles_darlingi_mRNA,5749
XM_049690867.1,Anopheles_darlingi_mRNA,6179
XM_049690866.1,Anopheles_darlingi_mRNA,5171
XM_049690865.1,Anopheles_darlingi_mRNA,3152
XM_049690864.1,Anopheles_darlingi_mRNA,3043
XM_049690863.1,Anopheles_darlingi_mRNA,10540
XM_049690862.1,Anopheles_darlingi_mRNA,10537
XM_049690861.1,Anopheles_darlingi_mRNA,5050
XM_049690860.1,Anopheles_darlingi_mRNA,5384
XM_049690859.1,Anopheles_darlingi_mRNA,3309
XM_049690858.1,Anopheles_darlingi_mRNA,1838
XM_049690857.1,Anopheles_darlingi_mRNA,1856
XM_049690856.1,Anopheles_darlingi_mRNA,4594
XM_049690855.1,Anopheles_darlingi_mRNA,4647
XM_049690854.1,Anopheles_darlingi_mRNA,8372
XM_049690853.1,Anopheles_darlingi_mRNA,9732
XM_049690852.1,Anopheles_darlingi_mRNA,8850
XM_049690851.1,Anopheles_darlingi_mRNA,9616
XM_049690850.1,Anopheles_darlingi_mRNA,9737
XM_049690849.1,Anopheles_darlingi_mRNA,8555
XM_049690848.1,Anopheles_darlingi_mRNA,8626
XM_049690847.1,Anopheles_darlingi_mRNA,9747
XM_049690846.1,Anopheles_darlingi_mRNA,9211
XM_049690845.1,Anopheles_darlingi_mRNA,9985
XM_049690844.1,Anopheles_darlingi_mRNA,10002
XM_049690843.1,Anopheles_darlingi_mRNA,9423
XM_049690842.1,Anopheles_darlingi_mRNA,9408
XM_049690841.1,Anopheles_darlingi_mRNA,1403
XM_049690840.1,Anopheles_darlingi_mRNA,1283
XM_049690839.1,Anopheles_darlingi_mRNA,2121
XM_049690838.1,Anopheles_darlingi_mRNA,2225
XM_049690837.1,Anopheles_darlingi_mRNA,2925
XM_049690836.1,Anopheles_darlingi_mRNA,6239
XM_049690835.1,Anopheles_darlingi_mRNA,6469
XM_049690834.1,Anopheles_darlingi_mRNA,6465
XM_049690833.1,Anopheles_darlingi_mRNA,6474
XM_049690832.1,Anopheles_darlingi_mRNA,6431
XM_049690830.1,Anopheles_darlingi_mRNA,1154
XM_049690829.1,Anopheles_darlingi_mRNA,945
XM_049690828.1,Anopheles_darlingi_mRNA,1054
XM_049690827.1,Anopheles_darlingi_mRNA,1832
XM_049690826.1,Anopheles_darlingi_mRNA,1624
XM_049690825.1,Anopheles_darlingi_mRNA,2965
XM_049690823.1,Anopheles_darlingi_mRNA,2615
XM_049690822.1,Anopheles_darlingi_mRNA,2711
XM_049690821.1,Anopheles_darlingi_mRNA,2829
XM_049690820.1,Anopheles_darlingi_mRNA,534
XM_049690819.1,Anopheles_darlingi_mRNA,4591
XM_049690818.1,Anopheles_darlingi_mRNA,5274
XM_049690817.1,Anopheles_darlingi_mRNA,2115
XM_049690816.1,Anopheles_darlingi_mRNA,1203
XM_049690815.1,Anopheles_darlingi_mRNA,1176
XM_049690814.1,Anopheles_darlingi_mRNA,1138
XM_049690813.1,Anopheles_darlingi_mRNA,1144
XM_049690812.1,Anopheles_darlingi_mRNA,1878
XM_049690810.1,Anopheles_darlingi_mRNA,853
XM_049690809.1,Anopheles_darlingi_mRNA,6047
XM_049690808.1,Anopheles_darlingi_mRNA,2231
XM_049690807.1,Anopheles_darlingi_mRNA,2252
XM_049690806.1,Anopheles_darlingi_mRNA,1618
XM_049690805.1,Anopheles_darlingi_mRNA,3129
XM_049690804.1,Anopheles_darlingi_mRNA,1973
XM_049690803.1,Anopheles_darlingi_mRNA,2811
XM_049690802.1,Anopheles_darlingi_mRNA,3490
XM_049690801.1,Anopheles_darlingi_mRNA,3472
XM_049690799.1,Anopheles_darlingi_mRNA,3464
XM_049690798.1,Anopheles_darlingi_mRNA,7760
XM_049690797.1,Anopheles_darlingi_mRNA,4305
XM_049690796.1,Anopheles_darlingi_mRNA,3784
XM_049690795.1,Anopheles_darlingi_mRNA,5472
XM_049690794.1,Anopheles_darlingi_mRNA,5475
XM_049690793.1,Anopheles_darlingi_mRNA,4948
XM_049690792.1,Anopheles_darlingi_mRNA,5130
XM_049690791.1,Anopheles_darlingi_mRNA,10986
XM_049690790.1,Anopheles_darlingi_mRNA,10860
XM_049690789.1,Anopheles_darlingi_mRNA,10913
XM_049690788.1,Anopheles_darlingi_mRNA,10925
XM_049690785.1,Anopheles_darlingi_mRNA,10953
XM_049690784.1,Anopheles_darlingi_mRNA,10971
XM_049690783.1,Anopheles_darlingi_mRNA,10971
XM_049690782.1,Anopheles_darlingi_mRNA,10974
XM_049690781.1,Anopheles_darlingi_mRNA,10977
XM_049690780.1,Anopheles_darlingi_mRNA,10980
XM_049690779.1,Anopheles_darlingi_mRNA,10983
XM_049690778.1,Anopheles_darlingi_mRNA,7638
XM_049690777.1,Anopheles_darlingi_mRNA,9076
XM_049690776.1,Anopheles_darlingi_mRNA,15089
XM_049690775.1,Anopheles_darlingi_mRNA,18350
XM_049690774.1,Anopheles_darlingi_mRNA,18256
XM_049690773.1,Anopheles_darlingi_mRNA,18276
XM_049690771.1,Anopheles_darlingi_mRNA,19319
XM_049690770.1,Anopheles_darlingi_mRNA,19346
XM_049690769.1,Anopheles_darlingi_mRNA,19116
XM_049690768.1,Anopheles_darlingi_mRNA,18910
XM_049690767.1,Anopheles_darlingi_mRNA,19021
XM_049690766.1,Anopheles_darlingi_mRNA,18928
XM_049690765.1,Anopheles_darlingi_mRNA,19039
XM_049690764.1,Anopheles_darlingi_mRNA,19194
XM_049690763.1,Anopheles_darlingi_mRNA,18961
XM_049690761.1,Anopheles_darlingi_mRNA,18434
XM_049690760.1,Anopheles_darlingi_mRNA,19208
XM_049690759.1,Anopheles_darlingi_mRNA,19235
XM_049690758.1,Anopheles_darlingi_mRNA,19253
XM_049690757.1,Anopheles_darlingi_mRNA,19286
XM_049690755.1,Anopheles_darlingi_mRNA,19412
XM_049690754.1,Anopheles_darlingi_mRNA,19430
XM_049690753.1,Anopheles_darlingi_mRNA,24608
XM_049690752.1,Anopheles_darlingi_mRNA,24561
XM_049690751.1,Anopheles_darlingi_mRNA,24627
XM_049690727.1,Anopheles_darlingi_mRNA,5154
XM_049690726.1,Anopheles_darlingi_mRNA,1485
XM_049690724.1,Anopheles_darlingi_mRNA,1888
XM_049690723.1,Anopheles_darlingi_mRNA,1458
XM_049690722.1,Anopheles_darlingi_mRNA,1373
XM_049690721.1,Anopheles_darlingi_mRNA,1224
XM_049690720.1,Anopheles_darlingi_mRNA,3817
XM_049690719.1,Anopheles_darlingi_mRNA,3715
XM_049690718.1,Anopheles_darlingi_mRNA,4267
XM_049690716.1,Anopheles_darlingi_mRNA,1011
XM_049690715.1,Anopheles_darlingi_mRNA,1224
XM_049690714.1,Anopheles_darlingi_mRNA,1499
XM_049690712.1,Anopheles_darlingi_mRNA,1651
XM_049690711.1,Anopheles_darlingi_mRNA,1857
XM_049690710.1,Anopheles_darlingi_mRNA,1927
XM_049690709.1,Anopheles_darlingi_mRNA,1922
XM_049690708.1,Anopheles_darlingi_mRNA,1927
XM_049690707.1,Anopheles_darlingi_mRNA,1938
XM_049690706.1,Anopheles_darlingi_mRNA,674
XM_049690705.1,Anopheles_darlingi_mRNA,1270
XM_049690704.1,Anopheles_darlingi_mRNA,1138
XM_049690703.1,Anopheles_darlingi_mRNA,2134
XM_049690702.1,Anopheles_darlingi_mRNA,1748
XM_049690701.1,Anopheles_darlingi_mRNA,855
XM_049690699.1,Anopheles_darlingi_mRNA,4193
XM_049690698.1,Anopheles_darlingi_mRNA,2204
XM_049690697.1,Anopheles_darlingi_mRNA,1696
XM_049690696.1,Anopheles_darlingi_mRNA,1735
XM_049690695.1,Anopheles_darlingi_mRNA,1968
XM_049690694.1,Anopheles_darlingi_mRNA,1990
XM_049690693.1,Anopheles_darlingi_mRNA,960
XM_049690692.1,Anopheles_darlingi_mRNA,1062
XM_049690691.1,Anopheles_darlingi_mRNA,1850
XM_049690690.1,Anopheles_darlingi_mRNA,1814
XM_049690689.1,Anopheles_darlingi_mRNA,2640
XM_049690684.1,Anopheles_darlingi_mRNA,897
XM_049690683.1,Anopheles_darlingi_mRNA,3278
XM_049690682.1,Anopheles_darlingi_mRNA,3351
XM_049690681.1,Anopheles_darlingi_mRNA,3289
XM_049690679.1,Anopheles_darlingi_mRNA,3311
XM_049690678.1,Anopheles_darlingi_mRNA,4535
XM_049690677.1,Anopheles_darlingi_mRNA,5085
XM_049690676.1,Anopheles_darlingi_mRNA,3887
XM_049690675.1,Anopheles_darlingi_mRNA,3042
XM_049690674.1,Anopheles_darlingi_mRNA,3103
XM_049690673.1,Anopheles_darlingi_mRNA,3022
XM_049690672.1,Anopheles_darlingi_mRNA,3085
XM_049690670.1,Anopheles_darlingi_mRNA,3253
XM_049690669.1,Anopheles_darlingi_mRNA,3436
XM_049690668.1,Anopheles_darlingi_mRNA,744
XM_049690667.1,Anopheles_darlingi_mRNA,1302
XM_049690666.1,Anopheles_darlingi_mRNA,825
XM_049690665.1,Anopheles_darlingi_mRNA,835
XM_049690664.1,Anopheles_darlingi_mRNA,1798
XM_049690663.1,Anopheles_darlingi_mRNA,1825
XM_049690662.1,Anopheles_darlingi_mRNA,3198
XM_049690661.1,Anopheles_darlingi_mRNA,3384
XM_049690660.1,Anopheles_darlingi_mRNA,902
XM_049690657.1,Anopheles_darlingi_mRNA,4608
XM_049690656.1,Anopheles_darlingi_mRNA,7510
XM_049690655.1,Anopheles_darlingi_mRNA,3032
XM_049690654.1,Anopheles_darlingi_mRNA,3087
XM_049690653.1,Anopheles_darlingi_mRNA,3087
XM_049690652.1,Anopheles_darlingi_mRNA,3090
XM_049690651.1,Anopheles_darlingi_mRNA,6175
XM_049690650.1,Anopheles_darlingi_mRNA,2445
XM_049690648.1,Anopheles_darlingi_mRNA,2442
XM_049690647.1,Anopheles_darlingi_mRNA,2722
XM_049690646.1,Anopheles_darlingi_mRNA,3233
XM_049690645.1,Anopheles_darlingi_mRNA,1334
XM_049690643.1,Anopheles_darlingi_mRNA,5726
XM_049690642.1,Anopheles_darlingi_mRNA,1792
XM_049690641.1,Anopheles_darlingi_mRNA,3909
XM_049690640.1,Anopheles_darlingi_mRNA,3962
XM_049690639.1,Anopheles_darlingi_mRNA,3558
XM_049690638.1,Anopheles_darlingi_mRNA,510
XM_049690637.1,Anopheles_darlingi_mRNA,6023
XM_049690636.1,Anopheles_darlingi_mRNA,1286
XM_049690635.1,Anopheles_darlingi_mRNA,1482
XM_049690634.1,Anopheles_darlingi_mRNA,5176
XM_049690633.1,Anopheles_darlingi_mRNA,1160
XM_049690631.1,Anopheles_darlingi_mRNA,1273
XM_049690630.1,Anopheles_darlingi_mRNA,623
XM_085037599.1,Anopheles_genus_mRNA,652
XM_085037598.1,Anopheles_genus_mRNA,5297
XM_085037597.1,Anopheles_genus_mRNA,4781
XM_085037596.1,Anopheles_genus_mRNA,655
XM_085037595.1,Anopheles_genus_mRNA,744
XM_085037594.1,Anopheles_genus_mRNA,1098
XM_085037593.1,Anopheles_genus_mRNA,1174
XM_085037592.1,Anopheles_genus_mRNA,1586
XM_085037591.1,Anopheles_genus_mRNA,2054
XM_085037590.1,Anopheles_genus_mRNA,2444
XM_085037588.1,Anopheles_genus_mRNA,2516
XM_085037587.1,Anopheles_genus_mRNA,2525
XM_085037586.1,Anopheles_genus_mRNA,3384
XM_085037585.1,Anopheles_genus_mRNA,3328
XM_085037584.1,Anopheles_genus_mRNA,3335
XM_085037583.1,Anopheles_genus_mRNA,3504
XM_085037582.1,Anopheles_genus_mRNA,4510
XM_085037580.1,Anopheles_genus_mRNA,4958
XM_085037579.1,Anopheles_genus_mRNA,2012
XM_085037578.1,Anopheles_genus_mRNA,1427
XM_085037576.1,Anopheles_genus_mRNA,2433
XM_085037575.1,Anopheles_genus_mRNA,2620
XM_085037574.1,Anopheles_genus_mRNA,1136
XM_085037573.1,Anopheles_genus_mRNA,872
XM_085037572.1,Anopheles_genus_mRNA,2126
XM_085037571.1,Anopheles_genus_mRNA,1869
XM_085037570.1,Anopheles_genus_mRNA,1734
XM_085037569.1,Anopheles_genus_mRNA,1921
XM_085037568.1,Anopheles_genus_mRNA,3048
XM_085037567.1,Anopheles_genus_mRNA,3539
XM_085037566.1,Anopheles_genus_mRNA,3578
XM_085037565.1,Anopheles_genus_mRNA,3937
XM_085037563.1,Anopheles_genus_mRNA,8507
XM_085037562.1,Anopheles_genus_mRNA,11397
XM_085037561.1,Anopheles_genus_mRNA,9362
XM_085037560.1,Anopheles_genus_mRNA,1351
XM_085037559.1,Anopheles_genus_mRNA,2591
XM_085037558.1,Anopheles_genus_mRNA,796
XM_085037557.1,Anopheles_genus_mRNA,806
XM_085037556.1,Anopheles_genus_mRNA,4351
XM_085037555.1,Anopheles_genus_mRNA,995
XM_085037554.1,Anopheles_genus_mRNA,848
XM_085037552.1,Anopheles_genus_mRNA,1385
XM_085037551.1,Anopheles_genus_mRNA,1034
XM_085037550.1,Anopheles_genus_mRNA,2754
XM_085037549.1,Anopheles_genus_mRNA,2611
XM_085037548.1,Anopheles_genus_mRNA,1820
XM_085037547.1,Anopheles_genus_mRNA,1913
XM_085037546.1,Anopheles_genus_mRNA,2777
XM_085037545.1,Anopheles_genus_mRNA,1555
XM_085037544.1,Anopheles_genus_mRNA,1427
XM_085037543.1,Anopheles_genus_mRNA,1965
XM_085037542.1,Anopheles_genus_mRNA,2565
XM_085037541.1,Anopheles_genus_mRNA,2152
XM_085037539.1,Anopheles_genus_mRNA,2170
XM_085037538.1,Anopheles_genus_mRNA,2520
XM_085037537.1,Anopheles_genus_mRNA,4422
XM_085037536.1,Anopheles_genus_mRNA,7444
XM_085037535.1,Anopheles_genus_mRNA,9927
XM_085037534.1,Anopheles_genus_mRNA,9933
XM_085037533.1,Anopheles_genus_mRNA,1042
XM_085037532.1,Anopheles_genus_mRNA,724
XM_085037531.1,Anopheles_genus_mRNA,3443
XM_085037530.1,Anopheles_genus_mRNA,6074
XM_085037529.1,Anopheles_genus_mRNA,1621
XM_085037527.1,Anopheles_genus_mRNA,4109
XM_085037526.1,Anopheles_genus_mRNA,4169
XM_085037525.1,Anopheles_genus_mRNA,4172
XM_085037524.1,Anopheles_genus_mRNA,1493
XM_085037523.1,Anopheles_genus_mRNA,2598
XM_085037522.1,Anopheles_genus_mRNA,6371
XM_085037521.1,Anopheles_genus_mRNA,6074
XM_085037520.1,Anopheles_genus_mRNA,8475
XM_085037519.1,Anopheles_genus_mRNA,1440
XM_085037518.1,Anopheles_genus_mRNA,8363
XM_085037517.1,Anopheles_genus_mRNA,1294
XM_085037515.1,Anopheles_genus_mRNA,1736
XM_085037514.1,Anopheles_genus_mRNA,4960
XM_085037513.1,Anopheles_genus_mRNA,2229
XM_085037512.1,Anopheles_genus_mRNA,1951
XM_085037511.1,Anopheles_genus_mRNA,1954
XM_085037510.1,Anopheles_genus_mRNA,2582
XM_085037509.1,Anopheles_genus_mRNA,4753
XM_085037508.1,Anopheles_genus_mRNA,650
XM_085037507.1,Anopheles_genus_mRNA,2438
XM_085037505.1,Anopheles_genus_mRNA,2769
XM_085037504.1,Anopheles_genus_mRNA,2657
XM_085037503.1,Anopheles_genus_mRNA,3470
XM_085037502.1,Anopheles_genus_mRNA,1480
XM_085037501.1,Anopheles_genus_mRNA,2958
XM_085037500.1,Anopheles_genus_mRNA,3193
XM_085037499.1,Anopheles_genus_mRNA,2044
XM_085037498.1,Anopheles_genus_mRNA,3517
XM_085037497.1,Anopheles_genus_mRNA,2931
XM_085037496.1,Anopheles_genus_mRNA,4027
XM_085037495.1,Anopheles_genus_mRNA,579
XM_085037494.1,Anopheles_genus_mRNA,879
XM_085037493.1,Anopheles_genus_mRNA,1063
XM_085037492.1,Anopheles_genus_mRNA,3433
XM_085037490.1,Anopheles_genus_mRNA,5270
XM_085037489.1,Anopheles_genus_mRNA,1118
XM_085037488.1,Anopheles_genus_mRNA,4193
XM_085037487.1,Anopheles_genus_mRNA,4262
XM_085037486.1,Anopheles_genus_mRNA,4349
XM_085037485.1,Anopheles_genus_mRNA,719
XM_085037484.1,Anopheles_genus_mRNA,2541
XM_085037483.1,Anopheles_genus_mRNA,3204
XM_085037482.1,Anopheles_genus_mRNA,3591
XM_085037479.1,Anopheles_genus_mRNA,2276
XM_085037478.1,Anopheles_genus_mRNA,2097
XM_085037477.1,Anopheles_genus_mRNA,2153
XM_085037476.1,Anopheles_genus_mRNA,2156
XM_085037475.1,Anopheles_genus_mRNA,1756
XM_085037474.1,Anopheles_genus_mRNA,1719
XM_085037473.1,Anopheles_genus_mRNA,2939
XM_085037471.1,Anopheles_genus_mRNA,2179
XM_085037470.1,Anopheles_genus_mRNA,2092
XM_085037469.1,Anopheles_genus_mRNA,2421
XM_085037468.1,Anopheles_genus_mRNA,2598
XM_085037467.1,Anopheles_genus_mRNA,2506
XM_085037466.1,Anopheles_genus_mRNA,4742
XM_085037465.1,Anopheles_genus_mRNA,2871
XM_085037463.1,Anopheles_genus_mRNA,3506
XM_085037462.1,Anopheles_genus_mRNA,3549
XM_085037461.1,Anopheles_genus_mRNA,3533
XM_085037460.1,Anopheles_genus_mRNA,4197
XM_085037458.1,Anopheles_genus_mRNA,2977
XM_085037457.1,Anopheles_genus_mRNA,4201
XM_085037456.1,Anopheles_genus_mRNA,4201
XM_085037455.1,Anopheles_genus_mRNA,4220
XM_085037454.1,Anopheles_genus_mRNA,4220
XM_085037453.1,Anopheles_genus_mRNA,4240
XM_085037452.1,Anopheles_genus_mRNA,4240
XM_085037451.1,Anopheles_genus_mRNA,1387
XM_085037450.1,Anopheles_genus_mRNA,1240
XM_085037448.1,Anopheles_genus_mRNA,4564
XM_085037447.1,Anopheles_genus_mRNA,5152
XM_085037446.1,Anopheles_genus_mRNA,814
XM_085037445.1,Anopheles_genus_mRNA,901
XM_085037444.1,Anopheles_genus_mRNA,771
XM_085037443.1,Anopheles_genus_mRNA,1349
XM_085037442.1,Anopheles_genus_mRNA,1962
XM_085037441.1,Anopheles_genus_mRNA,4972
XM_085037440.1,Anopheles_genus_mRNA,5119
XM_085037439.1,Anopheles_genus_mRNA,732
XM_085037437.1,Anopheles_genus_mRNA,1732
XM_085037436.1,Anopheles_genus_mRNA,613
XM_085037435.1,Anopheles_genus_mRNA,2210
XM_085037434.1,Anopheles_genus_mRNA,1557
XM_085037433.1,Anopheles_genus_mRNA,1467
XM_085037432.1,Anopheles_genus_mRNA,1722
XM_085037431.1,Anopheles_genus_mRNA,3857
XM_085037429.1,Anopheles_genus_mRNA,1392
XM_085037428.1,Anopheles_genus_mRNA,1740
XM_085037427.1,Anopheles_genus_mRNA,1924
XM_085037426.1,Anopheles_genus_mRNA,1798
XM_085037425.1,Anopheles_genus_mRNA,2182
XM_085037424.1,Anopheles_genus_mRNA,2225
